soft lo-fi jazz groove, electric piano, upright bass, brushed drums, warm and late-night
mellow neo-soul instrumental, electric piano, clean guitar, round bass, relaxed and warm
chill downtempo jazz, Rhodes, muted bass, light drums, cozy and reflective
lo-fi lounge instrumental, dusty piano, upright bass, brushed kit, calm and intimate
soft jazzhop feel, electric piano, subtle guitar, warm bass, dreamy and smooth
mellow evening jazz, Rhodes chords, upright bass, brushed snare, gentle and smoky
laid-back neo-soul groove, electric piano, soft synth pad, bass guitar, warm and sleepy
chill instrumental soul, clean electric guitar, Rhodes, soft drums, tender and easy
lo-fi jazz trio vibe, piano, upright bass, brushed drums, quiet and thoughtful
mellow rooftop jazz, electric piano, bass guitar, light percussion, warm and floating
soft lo-fi soul, Rhodes, muted guitar, round bass, lazy and nostalgic
gentle jazzhop instrumental, dusty keys, upright bass, brushed drums, soft and late-night
mellow neo-soul jam, electric piano, bass guitar, minimal drums, smooth and cozy
chill jazz lounge, Rhodes, upright bass, soft ride cymbal, reflective and warm
lo-fi instrumental groove, electric piano, clean guitar, warm bass, calm and hazy
soft after-hours jazz, piano, upright bass, brushed kit, intimate and slow
mellow soul sketch, Rhodes, subtle pad, bass guitar, warm and romantic
relaxed jazzhop beat, electric piano, muted bass, dusty drums, dreamy and light
chill neo-soul instrumental, clean guitar, Rhodes, soft bass, smooth and understated
lo-fi café jazz, piano, upright bass, brushes, cozy and rainy
soft jazz groove, Rhodes, bass guitar, brushed drums, mellow and golden
warm downtempo soul, electric piano, clean guitar, subtle synth, late-night and calm
intimate lo-fi jazz, dusty piano, upright bass, light cymbals, gentle and reflective
mellow instrumental soul, Rhodes, bass guitar, soft percussion, smooth and tender
chill jazzhop session, electric piano, upright bass, brushed snare, hazy and relaxed
soft neo-soul mood, clean guitar, warm bass, minimal drums, dreamy and soft
lo-fi lounge track, Rhodes, muted guitar, bass guitar, warm and dimly lit
gentle evening soul, electric piano, round bass, light drum groove, cozy and slow
mellow jazz trio, piano, upright bass, brushed drums, soft and thoughtful
chill rooftop soul, Rhodes, clean guitar, bass guitar, airy and warm
soft lo-fi instrumental, electric piano, muted bass, gentle drums, nostalgic and mellow
warm jazzhop groove, Rhodes, upright bass, dusty percussion, relaxed and intimate
mellow neo-soul texture, clean guitar, bass guitar, soft keys, smooth and floating
chill late-night jazz, piano, upright bass, brushes, smoky and calm
